#{"env_id": "DeepmindLabNavMazeStatic01-v0", "t_start": 1567755467.3805504}
r,l,t
1.0,225,160.893164
2.0,225,336.826193
2.0,225,512.529422
10.0,225,690.131249
3.0,225,837.695291
2.0,225,1013.38743
2.0,225,1190.284174
3.0,225,1365.734211
2.0,225,1511.203854
1.0,225,1686.46202
1.0,225,1861.068575
12.0,225,2036.161595
11.0,225,2181.888474
2.0,225,2356.227181
0.0,225,2531.266096
3.0,225,2705.994245
0.0,225,2850.390679
3.0,225,3024.719336
10.0,225,3198.38303
0.0,225,3373.262939
0.0,225,3517.931981
2.0,225,3692.286852
3.0,225,3866.450007
3.0,225,4040.692385
0.0,225,4184.817224
3.0,225,4358.09028
2.0,225,4532.499827
2.0,225,4705.488255
14.0,225,4849.565299
2.0,225,5024.163312
2.0,225,5199.385136
0.0,225,5372.405415
2.0,225,5544.36339
2.0,225,5689.245692
0.0,225,5866.472747
2.0,225,6038.705097
0.0,225,6210.721091
2.0,225,6354.846214
0.0,225,6530.498084
2.0,225,6704.210192
0.0,225,6876.600856
2.0,225,7021.747775
