opt_feat_var,recent_best_ext_ret,vpredmean,retmean,retstd,n_updates,opt_approxkl,advmean,tps,rew_mean,opt_aux,opt_ent,vpredstd,opt_clipfrac,advstd,opt_tot,opt_vf,opt_dyn_loss,ev,ups,opt_pg,rank,total_secs,eplen,epcount,eprew_recent,eprew,best_ext_ret,tcount
0.013700344,,-0.04426447,0.6290287,0.2533629,1,9.91221e-15,0.6732931,192.7262504524628,0.11580345,1.7868242,1.7883111,0.053163387,0.0,0.26008797,0.14121503,0.28821585,0.12131132,-0.053790926933288574,0.0117630768098427,-0.1452125,0,85.01176881790161,,,,,,
0.056878135,12.0,0.53171843,0.91470844,0.24863374,2,7.271961e-15,0.38298994,236.40892390898955,0.07715352,1.5944349,1.7883773,0.14289084,0.0,0.19637921,0.023945607,0.09992852,0.08124348,0.3761633038520813,0.014429255609679538,-0.074194536,0,154.31541323661804,225.0,128.0,1.34375,1.44,12.0,28800.0
0.3236328,,0.96848714,1.5025064,0.39563578,3,9.235668e-15,0.53401923,234.60026407205538,0.29597473,1.3143585,1.7866783,0.19994077,0.0,0.33519667,0.3221246,0.1544552,0.27588797,0.28219205141067505,0.014318863773929161,0.16945608,0,224.1533567905426,225.0,128.0,1.34375,1.44,12.0,28800.0
0.6710146,20.0,1.3413446,1.6880052,0.34798053,4,1.1581014e-14,0.34666067,237.51315862469227,0.48921365,1.1986517,1.7835392,0.21699803,0.0,0.30997598,0.1492707,0.093410134,0.48596573,0.20650148391723633,0.014496652748089128,0.057644106,0,293.13479804992676,225.0,256.0,2.875,3.18,20.0,57600.0
0.93313324,,1.5739478,1.8401977,0.30246666,5,1.593517e-14,0.2662499,238.37476738641075,0.6221558,1.1029677,1.780509,0.18876296,0.0,0.26110578,0.04053282,0.07569904,0.63919187,0.25479137897491455,0.014549241173486984,-0.03338571,0,361.86690497398376,225.0,256.0,2.875,3.18,20.0,57600.0
1.1972977,13.0,1.7721354,1.9922936,0.31137255,6,1.7326418e-14,0.22015819,238.39396239242083,0.8088249,1.008277,1.7752916,0.1876297,0.0,0.28001767,-0.014625743,0.06974065,0.81331974,0.1912575364112854,0.01455041274367803,-0.0825911,0,430.59347772598267,225.0,384.0,2.6328125,2.71,20.0,86400.0
1.5761384,,2.008394,2.1718936,0.3288502,7,2.202058e-14,0.16349946,237.12728410101178,0.9702996,0.9628787,1.767167,0.1851566,0.0,0.28587088,-0.076291874,0.068819135,1.020201,0.24431008100509644,0.014473100836243395,-0.14334384,0,499.6871716976166,225.0,384.0,2.6328125,2.71,20.0,86400.0
2.06231,22.0,2.2620745,2.4001527,0.38519955,8,2.5290534e-14,0.13807794,236.73622161875997,1.2012765,0.9130855,1.7590245,0.24079305,0.0,0.32428148,-0.0054463744,0.081031315,1.2553028,0.29128319025039673,0.014449232276535643,-0.08471867,0,568.8950009346008,225.0,512.0,2.7578125,2.8,22.0,115200.0
2.2911017,15.0,2.2438776,2.365972,0.38626626,9,2.647188e-14,0.12209417,234.32320787831722,1.3738704,0.8685497,1.757658,0.25966007,0.0,0.32081324,0.04847727,0.06012163,1.3867912,0.31018757820129395,0.014301953605854323,-0.0098867025,0,638.81551861763,225.0,640.0,2.5078125,2.44,22.0,144000.0
2.7281055,,2.3679059,2.5000339,0.44405767,10,2.7978488e-14,0.13212809,240.00288681805503,1.6212547,0.834663,1.7562457,0.28210866,0.0,0.34312758,0.14147225,0.045340687,1.5431466,0.40292006731033325,0.014648613697391054,0.09788781,0,707.0813641548157,225.0,640.0,2.5078125,2.44,22.0,144000.0
3.8511806,14.0,2.5151632,2.6293645,0.45546654,11,3.1579774e-14,0.11420146,239.12729126237292,2.0161085,0.78460944,1.7395525,0.33547,0.0,0.35482198,0.07762711,0.07822276,2.0764728,0.3931125998497009,0.014595171585838191,0.0011439025,0,775.5971739292145,225.0,768.0,2.40625,2.38,22.0,172800.0
4.289331,,2.666964,2.694546,0.4688899,12,3.844494e-14,0.027582189,239.45439446395622,1.9650526,0.82087976,1.7337148,0.33050272,0.0,0.3336387,-0.033975266,0.06295468,2.1632304,0.49369627237319946,0.014615136380856703,-0.09519623,0,844.0193886756897,225.0,768.0,2.40625,2.38,22.0,172800.0
3.8369722,12.0,2.7005668,2.7281022,0.42514342,13,3.51481e-14,0.027535558,238.70229363041352,2.1912487,0.78025013,1.7275451,0.34392753,0.0,0.32387924,0.07088983,0.05313788,2.229763,0.4196428656578064,0.014569231788965669,0.019479495,0,912.657187461853,225.0,896.0,1.796875,1.75,22.0,201600.0
4.0334353,,2.8724136,2.9031715,0.5141274,14,3.854729e-14,0.030757856,241.64552833338252,2.4368825,0.75714564,1.7274638,0.379044,0.0,0.33523616,0.17588535,0.038944665,2.1793594,0.5748322904109955,0.014748872578941804,0.13866815,0,980.4589800834656,225.0,896.0,1.796875,1.75,22.0,201600.0
4.627833,15.0,2.8293478,2.8559203,0.5295163,15,4.241052e-14,0.026572261,239.86077363863114,2.623246,0.78662723,1.7067516,0.41802123,0.0,0.36510587,0.06509186,0.076515034,2.5890007,0.524578332901001,0.014639939797279733,-0.009716416,0,1048.7652719020844,225.0,1024.0,2.125,2.07,22.0,230400.0
