opt_feat_var,ev,advstd,rew_mean,rank,opt_approxkl,retmean,retstd,total_secs,opt_vf,opt_tot,ups,opt_ent,opt_aux,opt_dyn_loss,opt_clipfrac,n_updates,opt_pg,vpredmean,tps,advmean,recent_best_ext_ret,vpredstd,epcount,best_ext_ret,eprew_recent,tcount,eplen,eprew
0.012607118,0.00041943788528442383,0.21494618,0.09716099,0,6.029899e-15,0.74687874,0.21499127,67.78604483604431,0.24908115,0.23401058,0.014752298459756766,1.7901225,1.7948024,0.096061304,0.0,1,-0.013280451,0.07292005,241.70165796465486,0.67395866,,0.041203003,,,,,,
0.06025334,0.2729058265686035,0.22271101,0.087602854,0,6.5017436e-15,1.0885143,0.2611839,121.56378149986267,0.090168886,0.23362857,0.018595055538527333,1.789197,1.568607,0.080845065,0.0,2,0.14524888,0.6795431,304.6613899432318,0.40897125,13.0,0.1314572,128.0,13.0,2.296875,28800.0,225.0,2.15
0.47087592,0.30444562435150146,0.30818912,0.42135885,0,7.698703e-15,1.5914497,0.36953175,175.12577724456787,0.16859674,0.14017324,0.01866995406157646,1.7887976,1.2717115,0.41813052,0.0,3,-0.0266347,1.1292455,305.88852734486875,0.4622042,,0.19688603,128.0,13.0,2.296875,28800.0,225.0,2.15
0.8246811,0.25292086601257324,0.29197553,0.61542475,0,1.1001616e-14,1.7733508,0.3378027,228.50851488113403,0.08200462,0.04441568,0.018732647373914727,1.7858701,1.1557192,0.6296083,0.0,4,-0.035803072,1.4870135,306.9156945742189,0.28633747,13.0,0.23515598,256.0,13.0,2.125,57600.0,225.0,2.26
1.0140408,0.32477444410324097,0.2770086,0.71851456,0,1.2902873e-14,1.9310395,0.3371078,281.96351504325867,0.04903372,0.12057467,0.018707323860575848,1.7814469,1.02898,0.66563886,0.0,5,0.0733224,1.7455578,306.5007941316747,0.18548158,,0.2228235,256.0,13.0,2.125,57600.0,225.0,2.26
1.4142576,0.2518811821937561,0.25917688,0.8850421,0,1.6132928e-14,2.0730765,0.29964772,335.67488265037537,0.056959875,-0.04213053,0.01861803272846661,1.7742838,1.042942,0.94874847,0.0,6,-0.09731612,1.9224505,305.03784822319693,0.15062594,13.0,0.22205135,384.0,13.0,2.21875,86400.0,225.0,2.24
1.9829197,0.3384760618209839,0.2791481,1.0780083,0,1.8710727e-14,2.2624931,0.34321153,389.17752981185913,0.059754305,-0.048707776,0.018690663977461924,1.7667484,0.96035624,1.1679497,0.0,7,-0.10669533,2.1139553,306.22783860673616,0.14853805,,0.21228139,384.0,13.0,2.21875,86400.0,225.0,2.24
2.7863567,0.33626776933670044,0.30730578,1.4336866,0,2.3689384e-14,2.364087,0.37720224,442.51736426353455,0.087038904,-0.16620645,0.018747714729148168,1.7650399,0.94070643,1.6542852,0.0,8,-0.2514803,2.1937547,307.1625581223636,0.17033195,13.0,0.22849298,512.0,13.0,2.234375,115200.0,225.0,2.34
2.9653711,0.33983659744262695,0.3090551,1.5828071,0,2.4692054e-14,2.4027452,0.38037345,496.1728527545929,0.056549586,0.03143813,0.018637422342481315,1.7575873,0.90732014,1.624812,0.0,9,-0.023353867,2.287755,305.35552765921386,0.114990145,14.0,0.2740074,640.0,14.0,2.7890625,144000.0,225.0,2.68
2.8730657,0.4102823734283447,0.33072665,1.9136593,0,2.594279e-14,2.5926948,0.4306725,549.4292571544647,0.047660016,0.123084605,0.018777084395175704,1.7423134,0.8533217,1.7059708,0.0,10,0.0771669,2.485919,307.64375073055874,0.106775515,,0.2942326,640.0,14.0,2.7890625,144000.0,225.0,2.68
3.1485977,0.4293506145477295,0.29038668,1.94295,0,3.1241502e-14,2.6738997,0.38440764,602.5459654331207,0.052727982,-0.0150355995,0.018826467836709528,1.7281492,0.88493174,2.018427,0.0,11,-0.066035435,2.6509218,308.4528490366489,0.022977697,13.0,0.32003844,768.0,14.0,2.2734375,172800.0,225.0,2.14
3.553093,0.47609376907348633,0.27082852,1.958031,0,3.361634e-14,2.6769617,0.3741688,655.8004956245422,0.038307022,-0.028091442,0.018777745224782486,1.7251279,0.8274354,2.057406,0.0,12,-0.064673334,2.6655524,307.65457776283625,0.011409208,,0.2832729,768.0,14.0,2.2734375,172800.0,225.0,2.14
4.263105,0.4264398217201233,0.29443115,2.331446,0,3.4353596e-14,2.7138412,0.38877136,709.04310297966,0.044937763,0.060480855,0.018781950202592355,1.7106068,0.80274373,2.2969983,0.0,13,0.017253697,2.6722112,307.72347211927314,0.041629948,13.0,0.31977114,896.0,14.0,2.3515625,201600.0,225.0,2.37
4.9909267,0.5173068344593048,0.27519026,2.5381231,0,3.6932263e-14,2.749722,0.3960933,761.8826344013214,0.029207341,0.060297262,0.01892522460163327,1.708667,0.81976724,2.503082,0.0,14,0.03279859,2.7049737,310.07087987315947,0.04474815,,0.30279446,896.0,14.0,2.3515625,201600.0,225.0,2.37
5.1339626,0.46706873178482056,0.26759127,2.6518836,0,4.2270007e-14,2.777996,0.36655262,815.1537244319916,0.037442196,0.04688208,0.018771907979060733,1.6804103,0.7950152,2.729288,0.0,15,0.011120297,2.7468128,307.55894032893104,0.031183187,14.0,0.2903855,1024.0,14.0,2.171875,230400.0,225.0,2.03
5.065687,0.4567190408706665,0.27256575,2.8685925,0,4.4432773e-14,2.856484,0.3697933,868.2286186218262,0.03777915,0.036593832,0.01884129992653908,1.656045,0.72076,2.8199723,0.0,16,0.00047072768,2.8379948,308.6958579964163,0.018489111,14.0,0.32099873,1152.0,14.0,2.421875,259200.0,225.0,2.45
6.993414,0.4622703790664673,0.24698195,3.1478312,0,4.6576675e-14,2.8071985,0.33680865,921.1930470466614,0.05474103,-0.37077996,0.018880596463325496,1.6311833,0.72213644,3.7982273,0.0,17,-0.42388982,2.7465837,309.3396924551249,0.060614713,,0.23815057,1152.0,14.0,2.421875,259200.0,225.0,2.45
6.047644,0.4742867350578308,0.24314639,3.2001593,0,4.7477647e-14,2.82375,0.33534616,973.8645358085632,0.02592545,-0.047745153,0.01898560347364467,1.6671181,0.7615164,3.2274437,0.0,18,-0.072003484,2.806457,311.06012731219425,0.01729283,15.0,0.285355,1280.0,15.0,1.90625,288000.0,225.0,2.04
5.7537384,0.5718396008014679,0.25449446,3.7465196,0,4.7412378e-14,2.981686,0.38893327,1026.3312044143677,0.030391643,0.1960737,0.01905971975299703,1.6304256,0.7301956,3.356805,0.0,19,0.16731247,2.9207253,312.2744484331033,0.060960606,,0.3062388,1280.0,15.0,1.90625,288000.0,225.0,2.04
6.888338,0.49217838048934937,0.25378948,3.6980786,0,5.3834758e-14,2.941059,0.35613778,1078.9759933948517,0.04269082,0.080654904,0.018995232374674553,1.5856869,0.68269575,3.675617,0.0,20,0.039549768,2.919947,311.21788722666787,0.021112088,13.0,0.3133303,1408.0,15.0,2.15625,316800.0,225.0,2.22
7.9724636,0.5915434658527374,0.2195879,4.033109,0,6.283109e-14,2.9511046,0.343586,1131.349988937378,0.029002473,0.09395226,0.019093444936581695,1.5866135,0.6361447,3.8804753,0.0,21,0.066536404,2.906622,312.8270018409545,0.04448242,,0.27376908,1408.0,15.0,2.15625,316800.0,225.0,2.22
7.290438,0.44163137674331665,0.25638038,4.518683,0,5.539536e-14,2.9557004,0.3431028,1184.0063209533691,0.028442517,0.3443703,0.018991068342859692,1.5894878,0.6533518,3.8990464,0.0,22,0.31751725,2.8771875,311.1496637294132,0.07851282,14.0,0.26845145,1536.0,15.0,2.109375,345600.0,225.0,2.17
8.662495,0.5170867443084717,0.2486671,4.9133844,0,6.133093e-14,3.0422564,0.3578358,1236.2894389629364,0.024659226,0.24164759,0.01912663280367117,1.5507405,0.63440025,4.3979473,0.0,23,0.21853909,3.0023274,313.37075185534843,0.039929092,12.0,0.30655137,1664.0,15.0,2.0625,374400.0,225.0,2.23
9.712757,0.5321574509143829,0.2280092,4.7646303,0,6.932584e-14,3.0452108,0.33335155,1288.7168283462524,0.03463078,-0.15119167,0.019073999521292774,1.5294497,0.6448056,5.3260746,0.0,24,-0.18429299,3.0103786,312.5084081568608,0.03483247,,0.2750072,1664.0,15.0,2.0625,374400.0,225.0,2.23
10.546345,0.4566308259963989,0.24476546,5.113288,0,7.1642616e-14,3.0437682,0.33204937,1341.1749186515808,0.025082659,-0.046038333,0.019062836526826943,1.538364,0.61863506,5.3413224,0.0,25,-0.069582626,3.0418057,312.32551365553263,0.0019625225,13.0,0.30774814,1792.0,15.0,1.9765625,403200.0,225.0,2.07
