retstd,ev,opt_ent,opt_clipfrac,opt_aux,rank,opt_feat_var,n_updates,opt_vf,vpredmean,advmean,recent_best_ext_ret,opt_dyn_loss,total_secs,opt_approxkl,vpredstd,retmean,rew_mean,opt_tot,advstd,opt_pg,tps,ups,eplen,best_ext_ret,epcount,eprew,eprew_recent,tcount
0.259948,-0.036051034927368164,1.7888025,0.0,1.796085,0,0.018446188,1,0.25340363,0.004812646,0.6624914,,0.18105514,64.72770643234253,1.1629586e-14,0.058052152,0.66730404,0.1888279,0.2484242,0.26459217,-0.0031906217,253.12188920654887,0.015449334058016899,,,,,,
0.20236994,0.3093896508216858,1.7899126,0.0,1.6383615,0,0.042600542,2,0.043769203,0.52517736,0.241893,12.0,0.06824125,119.70040106773376,7.2789e-15,0.13886636,0.76707035,0.07699156,0.04895982,0.16817543,0.006980531,298.0388738203136,0.018190849232196875,225.0,12.0,128.0,1.35,1.4375,28800.0
0.41934952,0.24902498722076416,1.7899734,0.0,1.3489845,0,0.34156585,3,0.25461453,0.77873814,0.61236256,,0.29716933,174.29051041603088,8.350959e-15,0.15030542,1.3911006,0.30609316,0.21815085,0.3634033,-0.034673706,300.127627432772,0.018318336635301025,225.0,12.0,128.0,1.35,1.4375,28800.0
0.39792925,0.2974168062210083,1.7883236,0.0,1.2568464,0,0.6900003,4,0.12734757,1.3299521,0.38625568,13.0,0.5420311,229.0677034854889,1.2028573e-14,0.24959113,1.7162077,0.53788245,0.103976555,0.33354524,-0.021582693,299.1025841580625,0.01825577295886612,225.0,13.0,256.0,2.85,2.640625,57600.0
0.3212193,0.33288484811782837,1.7862669,0.0,1.1127428,0,0.7986206,5,0.05344769,1.6131388,0.20349112,,0.5649185,283.4848346710205,1.29202204e-14,0.23069209,1.8166299,0.53846896,0.022967597,0.26236266,-0.028693825,301.0816565125389,0.018376565949251644,225.0,13.0,256.0,2.85,2.640625,57600.0
0.3129158,0.23988646268844604,1.7813675,0.0,1.0861485,0,1.1854141,6,0.061035763,1.733953,0.2565449,14.0,0.7562611,338.1422929763794,1.5407814e-14,0.19974698,1.990498,0.78342646,0.13274555,0.27281404,0.07349115,299.7578099674209,0.01829576476851934,225.0,14.0,384.0,2.52,2.328125,86400.0
0.36606413,0.3057347536087036,1.7722148,0.0,0.9683683,0,1.458497,7,0.040463984,2.1383896,0.16895145,,0.8884354,392.78505754470825,2.1255567e-14,0.23630847,2.3073409,0.9481476,0.13494274,0.3050141,0.096250966,299.8384164752935,0.018300684599322114,225.0,14.0,384.0,2.52,2.328125,86400.0
0.4308673,0.31673192977905273,1.7641213,0.0,0.92515427,0,1.6957471,8,0.05762333,2.306159,0.15458518,23.0,1.0365324,448.1439986228943,2.3495095e-14,0.26225576,2.4607444,1.1807547,0.22763008,0.35615507,0.17177087,295.95941831438046,0.018063929340477323,225.0,23.0,512.0,2.65,2.6328125,115200.0
0.3974591,0.3114092946052551,1.7607597,0.0,0.8608295,0,2.0122597,9,0.048634548,2.418773,0.06832247,14.0,1.1520568,505.78430461883545,2.5428444e-14,0.30838743,2.4870954,1.205787,0.03968168,0.32981697,-0.007192107,284.2455416727612,0.017348971049362866,225.0,23.0,640.0,2.21,2.0859375,144000.0
0.48154616,0.43684762716293335,1.7543793,0.0,0.8712431,0,2.4997978,10,0.06445642,2.46236,0.10784675,,1.4458631,563.8583495616913,2.8435587e-14,0.32641488,2.5702066,1.4783978,0.02494438,0.36136898,-0.037757657,282.1225904984173,0.017219396392725666,225.0,23.0,640.0,2.21,2.0859375,144000.0
0.502972,0.4251669645309448,1.7415521,0.0,0.83437234,0,2.8613172,11,0.059044868,2.7662172,0.0465829,15.0,1.6555126,621.3549356460571,3.1233696e-14,0.40201065,2.8128,1.7469852,0.117346585,0.38134202,0.06004327,284.9560489723589,0.017392336973410576,225.0,23.0,768.0,2.47,2.453125,172800.0
0.5320046,0.5413263440132141,1.728379,0.0,0.8123113,0,3.058538,12,0.055291034,2.9836047,0.004876919,,1.6489366,678.3197882175446,3.5590454e-14,0.42278102,2.9884815,1.7827585,0.1768051,0.3603025,0.12324244,287.6159466828967,0.01755468424578227,225.0,23.0,768.0,2.47,2.453125,172800.0
0.42616048,0.3389080762863159,1.730857,0.0,0.79886234,0,2.99738,13,0.044389825,2.9650507,-0.024467096,13.0,1.6041362,736.4229941368103,3.4170583e-14,0.4086738,2.9405837,1.922055,0.2167058,0.3465007,0.17404683,281.9809981357229,0.017210754280744808,225.0,23.0,896.0,2.2,2.3984375,201600.0
0.4496259,0.5121741592884064,1.695488,0.0,0.7955519,0,3.5939033,14,0.052866675,3.0137653,0.017414052,,2.0898085,793.3238794803619,3.9708688e-14,0.35624504,3.0311792,2.193732,0.06255859,0.31403908,0.011387402,287.9392807524521,0.01757441899123853,225.0,23.0,896.0,2.2,2.3984375,201600.0
0.40579215,0.4958036541938782,1.6825639,0.0,0.81896865,0,4.332314,15,0.04764321,2.8629868,0.01911434,12.0,2.5643334,851.1002404689789,4.2420928e-14,0.30982465,2.882101,2.296227,-0.13160804,0.28813997,-0.17756869,283.5761844403451,0.017308116726095283,225.0,23.0,1024.0,2.22,2.3203125,230400.0
0.39058143,0.5453875660896301,1.660048,0.0,0.78152084,0,5.2386513,16,0.036787286,2.9299967,-0.030137798,13.0,2.5746589,908.0255148410797,4.7475695e-14,0.33904603,2.899859,2.3331456,-0.038990945,0.26334935,-0.07411818,287.8159162291157,0.01756688941828099,225.0,23.0,1152.0,2.15,2.03125,259200.0
0.39034238,0.5592147409915924,1.6840811,0.0,0.78826445,0,4.367433,17,0.03633763,2.7828512,0.021624777,,2.3237615,964.8828344345093,4.24476e-14,0.30157247,2.8044758,2.446874,0.021434143,0.2591548,-0.013219405,288.1599082960171,0.017587885027833074,225.0,23.0,1152.0,2.15,2.03125,259200.0
