#{"t_start": 1568400185.2811282, "env_id": "DeepmindLabNavMazeStatic01-v0"}
r,l,t
2.0,225,104.836375
12.0,225,205.918879
0.0,225,307.214176
1.0,225,408.400234
1.0,225,500.832357
2.0,225,602.204945
2.0,225,702.980913
2.0,225,803.817123
0.0,225,895.790473
2.0,225,996.485153
3.0,225,1096.835261
0.0,225,1197.032958
0.0,225,1288.288811
2.0,225,1388.236961
0.0,225,1487.783364
2.0,225,1587.321955
0.0,225,1678.511532
0.0,225,1778.214799
2.0,225,1878.117322
2.0,225,1977.327288
2.0,225,2068.355577
2.0,225,2167.858623
3.0,225,2267.204011
3.0,225,2366.810652
3.0,225,2457.689469
0.0,225,2556.923822
1.0,225,2656.351832
2.0,225,2755.697857
1.0,225,2846.174455
2.0,225,2945.003514
2.0,225,3043.988442
0.0,225,3143.150535
0.0,225,3242.200155
2.0,225,3332.671447
1.0,225,3431.95289
0.0,225,3530.88689
0.0,225,3630.180454
2.0,225,3720.585406
3.0,225,3819.569273
2.0,225,3918.294471
0.0,225,4017.462989
2.0,225,4107.688105
3.0,225,4206.520112
3.0,225,4305.817763
2.0,225,4405.003017
2.0,225,4497.345761
5.0,225,4597.00023
0.0,225,4695.621499
2.0,225,4794.918624
2.0,225,4885.014894
2.0,225,4984.706223
2.0,225,5083.923105
0.0,225,5182.6109
3.0,225,5273.085369
0.0,225,5371.877136
2.0,225,5470.964656
2.0,225,5570.348357
2.0,225,5660.164947
2.0,225,5758.792588
2.0,225,5858.032761
2.0,225,5956.988592
2.0,225,6047.696673
3.0,225,6147.062718
2.0,225,6246.820314
10.0,225,6347.478031
2.0,225,6447.132982
2.0,225,6538.238313
1.0,225,6638.14265
2.0,225,6737.978849
2.0,225,6837.913282
2.0,225,6928.974755
2.0,225,7028.840146
0.0,225,7128.885359
2.0,225,7229.146745
2.0,225,7319.776399
3.0,225,7419.917331
3.0,225,7519.36238
0.0,225,7618.944805
1.0,225,7709.720805
0.0,225,7808.986742
0.0,225,7908.176517
3.0,225,8006.974639
0.0,225,8097.885803
2.0,225,8196.514627
0.0,225,8295.315835
2.0,225,8394.557333
2.0,225,8485.13516
2.0,225,8583.654781
12.0,225,8682.528778
2.0,225,8781.347727
2.0,225,8871.463519
2.0,225,8970.160594
3.0,225,9069.774444
2.0,225,9168.62498
2.0,225,9259.207886
3.0,225,9358.461075
2.0,225,9457.68247
0.0,225,9556.506595
1.0,225,9655.822469
0.0,225,9745.971337
1.0,225,9845.024959
2.0,225,9943.931314
2.0,225,10043.80959
3.0,225,10134.11917
3.0,225,10232.979869
2.0,225,10331.805427
2.0,225,10430.692228
2.0,225,10520.817274
2.0,225,10619.700764
2.0,225,10718.461189
2.0,225,10817.157503
0.0,225,10907.414755
3.0,225,11006.608643
3.0,225,11105.914244
0.0,225,11204.591193
2.0,225,11294.777529
2.0,225,11393.522134
2.0,225,11492.126323
3.0,225,11590.443163
3.0,225,11679.590999
2.0,225,11778.199103
3.0,225,11876.519248
2.0,225,11974.82612
2.0,225,12064.346592
2.0,225,12161.836565
2.0,225,12259.965369
2.0,225,12358.6006
1.0,225,12448.415855
2.0,225,12546.2935
2.0,225,12644.628996
0.0,225,12742.900699
3.0,225,12840.562734
2.0,225,12930.274426
0.0,225,13028.623725
3.0,225,13126.500592
0.0,225,13225.111167
0.0,225,13314.675693
2.0,225,13412.710273
0.0,225,13511.301992
0.0,225,13609.308103
2.0,225,13698.797502
0.0,225,13798.095322
2.0,225,13896.601716
0.0,225,13996.036629
2.0,225,14086.288822
0.0,225,14185.021669
0.0,225,14284.055465
0.0,225,14383.354145
0.0,225,14472.999337
3.0,225,14572.033326
0.0,225,14670.588761
3.0,225,14770.029809
1.0,225,14860.680761
3.0,225,14959.871414
2.0,225,15058.489336
0.0,225,15158.030255
2.0,225,15248.107058
0.0,225,15347.002465
10.0,225,15446.043524
2.0,225,15544.433945
2.0,225,15643.056223
2.0,225,15733.127291
2.0,225,15831.60907
0.0,225,15930.132383
2.0,225,16028.616366
3.0,225,16118.59532
2.0,225,16217.217505
0.0,225,16316.579914
2.0,225,16415.471891
3.0,225,16505.399746
2.0,225,16603.916767
3.0,225,16702.144745
2.0,225,16800.08124
2.0,225,16889.962076
0.0,225,16988.440813
2.0,225,17086.619527
0.0,225,17184.899443
2.0,225,17274.813246
0.0,225,17373.179837
2.0,225,17471.609274
2.0,225,17570.316493
0.0,225,17660.225757
2.0,225,17758.712067
2.0,225,17858.015105
2.0,225,17956.668944
3.0,225,18046.884193
2.0,225,18145.862807
0.0,225,18244.398267
2.0,225,18342.444913
2.0,225,18432.084504
0.0,225,18530.126009
0.0,225,18628.177014
0.0,225,18725.998559
0.0,225,18824.092545
2.0,225,18913.124988
3.0,225,19011.072148
3.0,225,19109.038245
2.0,225,19207.401223
3.0,225,19296.776526
2.0,225,19395.602657
4.0,225,19494.388684
0.0,225,19592.66858
0.0,225,19681.628335
3.0,225,19779.648589
0.0,225,19877.877384
3.0,225,19975.653614
1.0,225,20065.613469
2.0,225,20164.486422
2.0,225,20262.752321
0.0,225,20361.361946
2.0,225,20450.896192
3.0,225,20549.356611
3.0,225,20647.759798
1.0,225,20746.578579
1.0,225,20836.891313
0.0,225,20934.642531
0.0,225,21032.909707
2.0,225,21131.569057
2.0,225,21221.443775
3.0,225,21320.641702
0.0,225,21419.836681
2.0,225,21518.422586
2.0,225,21608.122873
0.0,225,21706.709041
0.0,225,21804.72058
1.0,225,21903.258826
2.0,225,22001.630661
2.0,225,22091.225413
0.0,225,22190.035162
2.0,225,22289.174103
3.0,225,22387.631338
2.0,225,22477.953899
2.0,225,22577.023425
3.0,225,22675.93654
3.0,225,22774.878563
1.0,225,22864.332277
2.0,225,22963.013131
2.0,225,23061.977747
1.0,225,23160.711087
0.0,225,23251.09701
0.0,225,23349.827947
0.0,225,23448.745068
3.0,225,23547.018816
3.0,225,23636.695249
2.0,225,23735.504734
3.0,225,23833.671189
2.0,225,23932.253964
3.0,225,24022.204051
4.0,225,24121.24804
3.0,225,24219.427996
2.0,225,24317.931177
3.0,225,24407.362612
2.0,225,24505.330144
0.0,225,24603.723008
2.0,225,24702.544131
2.0,225,24792.89256
2.0,225,24890.726006
2.0,225,24989.529523
3.0,225,25087.999668
2.0,225,25186.300535
0.0,225,25276.049672
2.0,225,25374.384629
2.0,225,25473.4419
3.0,225,25572.543661
0.0,225,25663.278468
2.0,225,25761.887872
2.0,225,25860.435326
2.0,225,25959.116787
2.0,225,26049.452425
1.0,225,26148.106328
0.0,225,26246.828464
2.0,225,26346.040375
0.0,225,26436.738339
2.0,225,26536.046187
2.0,225,26634.842734
0.0,225,26733.808832
2.0,225,26824.049968
1.0,225,26922.738742
1.0,225,27021.553597
0.0,225,27120.916533
0.0,225,27212.2471
0.0,225,27312.035465
0.0,225,27411.081855
0.0,225,27510.470531
1.0,225,27600.890393
3.0,225,27700.45165
0.0,225,27799.690023
3.0,225,27899.001596
3.0,225,27999.075791
0.0,225,28089.72034
2.0,225,28189.66261
2.0,225,28290.068213
2.0,225,28390.554402
3.0,225,28481.820065
1.0,225,28582.001175
3.0,225,28682.682457
3.0,225,28783.112227
3.0,225,28874.231797
0.0,225,28974.672518
3.0,225,29073.855006
2.0,225,29173.240663
2.0,225,29264.482766
3.0,225,29364.577464
2.0,225,29464.212498
3.0,225,29563.461569
3.0,225,29654.21584
2.0,225,29753.377151
3.0,225,29852.264816
2.0,225,29950.713184
2.0,225,30041.374454
2.0,225,30141.222226
2.0,225,30240.299766
0.0,225,30340.011179
2.0,225,30430.977153
2.0,225,30529.856596
13.0,225,30629.404331
0.0,225,30728.756542
2.0,225,30819.246347
0.0,225,30918.121209
0.0,225,31017.25209
3.0,225,31115.59107
2.0,225,31214.79907
2.0,225,31305.443381
2.0,225,31404.253433
2.0,225,31503.36586
4.0,225,31602.468024
3.0,225,31692.983969
3.0,225,31792.705521
0.0,225,31891.815094
0.0,225,31990.953385
2.0,225,32081.519748
2.0,225,32180.626446
2.0,225,32280.360474
1.0,225,32379.39976
0.0,225,32469.708887
0.0,225,32568.907813
2.0,225,32668.196159
10.0,225,32767.437369
0.0,225,32858.301965
2.0,225,32956.743558
2.0,225,33056.018752
12.0,225,33155.632326
1.0,225,33245.724489
2.0,225,33345.355881
2.0,225,33444.439045
0.0,225,33543.83356
2.0,225,33634.222393
2.0,225,33733.301359
3.0,225,33832.523592
2.0,225,33931.562099
3.0,225,34022.105182
2.0,225,34121.108467
3.0,225,34219.976272
2.0,225,34319.544113
0.0,225,34418.373081
2.0,225,34508.834852
2.0,225,34608.410572
3.0,225,34706.770318
2.0,225,34805.533658
2.0,225,34895.49814
2.0,225,34994.096023
2.0,225,35093.046995
0.0,225,35192.224581
2.0,225,35282.438164
2.0,225,35381.68067
2.0,225,35481.500454
1.0,225,35580.344294
2.0,225,35670.790987
2.0,225,35770.464829
0.0,225,35869.561096
2.0,225,35969.295134
0.0,225,36060.082049
2.0,225,36159.86891
2.0,225,36260.083102
2.0,225,36360.744378
2.0,225,36451.785248
1.0,225,36552.503355
2.0,225,36652.839365
0.0,225,36752.565569
0.0,225,36843.884035
2.0,225,36943.523232
2.0,225,37043.374364
0.0,225,37143.476581
0.0,225,37234.565861
2.0,225,37334.673975
3.0,225,37433.999097
3.0,225,37534.067792
2.0,225,37633.203491
0.0,225,37723.865436
2.0,225,37823.386999
2.0,225,37922.683462
3.0,225,38021.360357
2.0,225,38112.585352
0.0,225,38211.947274
0.0,225,38311.599791
3.0,225,38410.83017
0.0,225,38501.47759
4.0,225,38601.450854
3.0,225,38701.845346
0.0,225,38801.706881
3.0,225,38893.182022
0.0,225,38993.281682
3.0,225,39093.242698
0.0,225,39193.15787
3.0,225,39284.791538
1.0,225,39385.361235
2.0,225,39485.358608
2.0,225,39584.817794
0.0,225,39675.558324
3.0,225,39775.845083
3.0,225,39875.592232
1.0,225,39974.800096
2.0,225,40066.40861
2.0,225,40166.124217
2.0,225,40266.306385
1.0,225,40366.307589
2.0,225,40465.926233
1.0,225,40557.16098
3.0,225,40657.219634
2.0,225,40757.202412
0.0,225,40857.075807
2.0,225,40948.176952
2.0,225,41048.123241
2.0,225,41148.335962
3.0,225,41247.903307
2.0,225,41338.624583
0.0,225,41438.443089
3.0,225,41537.902124
2.0,225,41637.986458
1.0,225,41729.121632
3.0,225,41829.013408
3.0,225,41929.054316
3.0,225,42029.031933
2.0,225,42119.960658
1.0,225,42219.880461
4.0,225,42320.297653
2.0,225,42419.714984
0.0,225,42510.809757
2.0,225,42610.703825
0.0,225,42710.617271
3.0,225,42810.558796
1.0,225,42901.639444
2.0,225,43001.339187
0.0,225,43101.112867
2.0,225,43200.901556
2.0,225,43291.720759
2.0,225,43391.646897
4.0,225,43491.473889
3.0,225,43590.821362
4.0,225,43690.033463
2.0,225,43781.256805
2.0,225,43881.18896
0.0,225,43980.792281
3.0,225,44080.171368
0.0,225,44170.847989
0.0,225,44271.135118
2.0,225,44371.089403
2.0,225,44470.7084
2.0,225,44562.080561
2.0,225,44662.479661
2.0,225,44762.341235
0.0,225,44862.08764
0.0,225,44953.709415
3.0,225,45053.30561
0.0,225,45152.237917
1.0,225,45251.828879
0.0,225,45343.136768
0.0,225,45443.069978
0.0,225,45543.101747
0.0,225,45642.762941
3.0,225,45733.743067
2.0,225,45833.252041
2.0,225,45932.857017
2.0,225,46033.79738
2.0,225,46125.324705
4.0,225,46225.922041
2.0,225,46326.341221
2.0,225,46426.504564
0.0,225,46517.572027
3.0,225,46618.490121
2.0,225,46718.965701
3.0,225,46818.861604
2.0,225,46919.358858
2.0,225,47010.475482
2.0,225,47110.652411
2.0,225,47210.145325
3.0,225,47310.003321
3.0,225,47401.869684
0.0,225,47501.609213
2.0,225,47601.321675
2.0,225,47701.371975
0.0,225,47792.321019
2.0,225,47892.956045
1.0,225,47992.382494
0.0,225,48092.828063
2.0,225,48184.30473
3.0,225,48283.998193
2.0,225,48384.250693
0.0,225,48484.355979
0.0,225,48575.822491
0.0,225,48675.943157
2.0,225,48775.461059
2.0,225,48875.694259
0.0,225,48967.443993
2.0,225,49067.014795
2.0,225,49166.241608
0.0,225,49266.353107
2.0,225,49356.982725
2.0,225,49456.763034
3.0,225,49556.225594
0.0,225,49656.34035
3.0,225,49747.364328
2.0,225,49847.718163
2.0,225,49946.947646
0.0,225,50046.303377
0.0,225,50145.921621
3.0,225,50237.405842
3.0,225,50336.723493
2.0,225,50436.793138
2.0,225,50536.427883
3.0,225,50627.368907
1.0,225,50727.140624
2.0,225,50826.977947
2.0,225,50926.785387
1.0,225,51018.034216
2.0,225,51118.754085
2.0,225,51218.611819
0.0,225,51317.956909
3.0,225,51408.481834
2.0,225,51508.21423
2.0,225,51608.001318
2.0,225,51707.884648
