rew_mean,advmean,tps,opt_dyn_loss,advstd,ev,vpredstd,opt_feat_var,opt_tot,retmean,opt_ent,rank,total_secs,retstd,recent_best_ext_ret,ups,opt_aux,opt_clipfrac,n_updates,opt_pg,opt_approxkl,opt_vf,vpredmean,eplen,epcount,eprew,tcount,best_ext_ret,eprew_recent
0.21414044,0.42705923,241.89916400920237,0.11534286,0.44246593,-0.05210006237030029,0.05768415,0.0132517675,0.15579952,0.4319633,1.7873508,0,67.7306969165802,0.43137136,,0.014764353272046043,1.7988137,0.0,1,-0.023570754,9.825474e-15,0.18115763,0.00490408,,,,,,
0.17423847,0.27803242,289.9369809072766,0.07262439,0.399684,0.05054616928100586,0.10752799,0.047235314,0.1793305,0.6564788,1.7875226,0,124.23952841758728,0.41018507,15.0,0.017696348932328895,1.6017697,0.0,2,0.0884807,6.855627e-15,0.09263732,0.3784464,225.0,128.0,5.4,28800.0,15.0,5.453125
0.44858068,0.45593184,289.63201309146666,0.32867712,0.34461647,0.12744849920272827,0.12824047,0.38641563,0.15101787,1.1422851,1.786291,0,180.80786085128784,0.36892706,,0.017677735174039713,1.3140217,0.0,3,-0.027490143,8.080342e-15,0.1802943,0.6863533,225.0,128.0,5.4,28800.0,15.0,5.453125
0.59921634,0.34836534,289.73584135286956,0.45424673,0.30954328,0.1968899965286255,0.17621797,0.61496013,0.23599955,1.4361293,1.7848715,0,237.3559217453003,0.34540915,11.0,0.017684072348197605,1.165844,0.0,4,0.14151894,1.0189766e-14,0.0962655,1.087764,225.0,256.0,2.06,57600.0,15.0,1.8515625
0.7199724,0.28216046,292.66157536981973,0.70739466,0.28730577,0.24359846115112305,0.17116189,0.9948721,0.052956495,1.6088905,1.7828621,0,293.3386723995209,0.3303453,,0.0178626449810681,1.1099725,0.0,5,-0.03350485,1.2528173e-14,0.08824421,1.32673,225.0,256.0,2.06,57600.0,15.0,1.8515625
1.0230834,0.2962481,287.93673750418264,1.0032027,0.31670862,0.23846006393432617,0.1764814,1.5157906,-0.04305096,1.8249828,1.777669,0,350.24006032943726,0.3629222,23.0,0.017574263763683023,1.0966153,0.0,6,-0.17372073,1.4849233e-14,0.13244744,1.5287347,225.0,384.0,2.92,86400.0,23.0,2.6328125
1.1197056,0.1881082,289.9030778795281,1.1673621,0.31055585,0.27838993072509766,0.23561315,1.8413072,-0.014452465,2.0717516,1.7669554,0,406.7555003166199,0.36558503,,0.017694279655732916,0.98666227,0.0,7,-0.11087476,2.0157487e-14,0.09818925,1.8836435,225.0,384.0,2.92,86400.0,23.0,2.6328125
1.4637644,0.16738436,290.1754922956342,1.4255316,0.35197946,0.3189929127693176,0.26195472,2.0975654,0.024078697,2.3098555,1.7614914,0,463.2178840637207,0.42652205,14.0,0.017710906512184706,0.9854828,0.0,8,-0.062365793,2.2939983e-14,0.08820598,2.1424708,225.0,512.0,2.08,115200.0,23.0,1.9609375
1.5804896,0.099333726,291.142747952601,1.5808125,0.33841997,0.29747503995895386,0.29973936,2.5566907,0.06937692,2.5583444,1.7500336,0,519.4926843643188,0.40376168,21.0,0.01776994311234137,0.9560071,0.0,9,-0.0013644435,2.8501507e-14,0.0724914,2.4590108,225.0,640.0,2.34,144000.0,23.0,2.4765625
1.7217927,0.065421216,291.32701566614475,1.6138699,0.32376996,0.38932621479034424,0.27376568,2.711027,0.10558298,2.6375847,1.7375563,0,575.7318902015686,0.41431618,,0.017781189921029342,0.82648134,0.0,10,0.03355554,3.062134e-14,0.073764995,2.5721636,225.0,640.0,2.34,144000.0,23.0,2.4765625
2.0658803,0.06820489,289.76643557870466,2.2473454,0.33990338,0.4199777841567993,0.32656947,3.8496077,-0.08533371,2.766126,1.7245556,0,632.2739806175232,0.44630647,14.0,0.017685939671551798,0.8722355,0.0,11,-0.16449055,3.33995e-14,0.080881394,2.697921,225.0,768.0,2.11,172800.0,23.0,2.28125
1.9769785,-0.014197491,290.07943503374855,1.9162631,0.31966585,0.5112183094024658,0.3476716,3.5259056,0.08159229,2.8971674,1.7201518,0,688.7550613880157,0.4572343,,0.017705043642196567,0.7974355,0.0,12,0.02950146,3.8196876e-14,0.053810984,2.911365,225.0,768.0,2.11,172800.0,23.0,2.28125
2.2702503,0.029202376,291.5533732670309,2.127797,0.32913476,0.4815950393676758,0.35876003,3.7282255,-0.015875906,2.8693812,1.7232308,0,744.9506039619446,0.45712942,13.0,0.017795005692567804,0.8126304,0.0,13,-0.060804978,3.5093456e-14,0.046652302,2.840179,225.0,896.0,2.24,201600.0,23.0,2.2421875
2.4576113,0.00040604267,294.2403319638537,2.2291687,0.3180969,0.5517239570617676,0.3709339,4.2674565,0.13218608,2.9073005,1.7071226,0,800.6329772472382,0.4751018,,0.01795900463646568,0.8016238,0.0,14,0.09393089,3.9958705e-14,0.039962307,2.9068942,225.0,896.0,2.24,201600.0,23.0,2.2421875
2.5074654,0.0117775425,292.9633239312507,2.4289508,0.2939777,0.4589511752128601,0.32635882,4.7294836,0.07720639,2.8416228,1.7055663,0,856.558066368103,0.39966506,22.0,0.017881062251663252,0.77739066,0.0,15,0.046146207,4.1367083e-14,0.03276575,2.8298452,225.0,1024.0,2.34,230400.0,23.0,2.2578125
2.646253,-0.016531976,293.24828130746886,2.6320846,0.28742674,0.4933463931083679,0.34312874,4.956925,0.0885001,2.9131532,1.6842408,0,912.4288115501404,0.40380493,14.0,0.017898454669645316,0.78107595,0.0,16,0.050494555,4.664498e-14,0.039689783,2.9296854,225.0,1152.0,2.23,259200.0,23.0,2.09375
2.7339387,-0.013791326,292.8499802037105,2.756504,0.29505175,0.5700942575931549,0.34931636,5.6259136,0.05471947,3.004993,1.6387712,0,968.3755457401276,0.44999906,,0.017874144299542878,0.7128317,0.0,17,0.0069973115,4.878693e-14,0.04936093,3.0187843,225.0,1152.0,2.23,259200.0,23.0,2.09375
3.1698673,-0.01176815,292.22096897367015,3.134591,0.32985395,0.5582371652126312,0.4640097,6.3158126,0.11781801,3.0826259,1.6104665,0,1024.4427063465118,0.49628037,12.0,0.01783575250083436,0.7677558,0.0,18,0.055703137,5.2535884e-14,0.063725345,3.0943942,225.0,1280.0,2.22,288000.0,23.0,2.3828125
