recent_best_ext_ret,vpredstd,retstd,opt_aux,ups,opt_vf,ev,vpredmean,opt_clipfrac,opt_pg,opt_ent,opt_feat_var,retmean,opt_tot,advstd,n_updates,opt_approxkl,rew_mean,opt_dyn_loss,advmean,tps,rank,total_secs,best_ext_ret,tcount,eprew_recent,epcount,eprew,eplen
,0.04041393,0.34401032,1.7989626,0.0060194947976576945,0.23273075,-0.04347383975982666,0.012080006,0.0,-0.07641438,1.7907438,0.01214418,0.5635237,0.15452562,0.35140848,1,6.699826e-15,0.11816627,0.10848758,0.5514437,693.4458006901664,0,166.12689590454102,,,,,,
12.0,0.17762494,0.36512262,1.7137926,0.006197651748740696,0.048969675,0.38140618801116943,0.6177284,0.0,0.10641417,1.7892138,0.035963822,0.82371706,0.15359463,0.28717163,2,6.824171e-15,0.073911786,0.05580697,0.20598866,713.9694814549283,0,327.47833037376404,12.0,115200.0,2.3828125,128.0,2.51,900.0
11.0,0.23449223,0.43684828,1.3857023,0.006187853243422228,0.07483777,0.47977179288864136,0.8051945,0.0,0.008004841,1.7871728,0.4809589,1.0460755,0.08105543,0.3150849,3,7.808075e-15,0.30193052,0.28284413,0.24088098,712.8406936422407,0,489.08526587486267,12.0,230400.0,1.21875,256.0,1.36,900.0
12.0,0.34197125,0.50539804,1.2072322,0.006200090688601433,0.06708365,0.6020224392414093,1.0810126,0.0,0.008616206,1.7847648,0.91980064,1.2702084,0.073915094,0.31883267,4,1.0357147e-14,0.5079692,0.4884398,0.18919577,714.2504473268851,0,650.373229265213,12.0,345600.0,1.5234375,384.0,1.49,900.0
12.0,0.4641439,0.60346496,1.0710418,0.006199505984257267,0.03872551,0.6784810721874237,1.3872579,0.0,0.11084501,1.7812424,1.2556037,1.5152237,0.14778927,0.34218055,5,1.30922435e-14,0.6720706,0.56832683,0.12796597,714.1830893864371,0,811.6764044761658,12.0,460800.0,1.2421875,512.0,1.1,900.0
11.0,0.51881516,0.6552757,0.98316985,0.0062022679757245385,0.036348563,0.7272323966026306,1.493523,0.0,0.12068148,1.7759082,1.4583248,1.5506809,0.15525414,0.34223187,6,1.5613684e-14,0.69232506,0.55284166,0.057158012,714.5012708034669,0,972.9077482223511,12.0,576000.0,1.3203125,640.0,1.27,900.0
13.0,0.7793059,0.9082399,0.97776014,0.00623212120793921,0.063616455,0.8191124796867371,1.7594053,0.0,0.06711748,1.7629343,2.2153702,1.7996385,0.12897101,0.38628235,7,2.130592e-14,0.99771774,0.88197076,0.040233422,717.940363154597,0,1133.3667583465576,13.0,691200.0,1.3984375,768.0,1.42,900.0
13.0,0.9667558,1.0200281,0.94078314,0.00624603739877259,0.0696791,0.8545699715614319,2.0148337,0.0,0.07023932,1.7556438,2.0934303,1.9957708,0.13816276,0.38899067,8,2.2540982e-14,1.0904235,0.8348991,-0.019063028,719.5435083386024,0,1293.4682652950287,13.0,806400.0,1.4453125,896.0,1.39,900.0
11.0,0.9880866,1.0285767,0.92658436,0.006254883468059013,0.059953477,0.8637557178735733,2.0869563,0.0,0.041703492,1.7423862,2.7182312,2.0511324,0.09991458,0.37966087,9,2.7848341e-14,1.2103312,1.0621952,-0.035823487,720.5625755203982,0,1453.343346118927,13.0,921600.0,1.171875,1024.0,1.12,900.0
3.0,0.98423195,1.030037,0.9212112,0.006259953139512754,0.05137712,0.8930847719311714,2.1275005,0.0,0.013858217,1.7275925,3.386857,2.0853028,0.06350774,0.33680043,10,3.2640557e-14,1.3328555,1.258124,-0.042197514,721.1466016718693,0,1613.0889508724213,13.0,1036800.0,1.0546875,1152.0,1.08,900.0
