opt_clipfrac,recent_best_ext_ret,vpredstd,opt_aux,opt_ent,ups,opt_vf,ev,rew_mean,opt_tot,retmean,rank,opt_dyn_loss,advmean,opt_approxkl,opt_pg,vpredmean,advstd,opt_feat_var,tps,total_secs,n_updates,retstd,epcount,eplen,eprew,tcount,best_ext_ret,eprew_recent
0.0,,0.048916105,1.7960849,1.7905102,0.0058330441070293245,0.11758209,-0.004488348960876465,0.28838226,0.06097869,0.064139724,0,0.08732483,0.15712696,5.7415802e-15,-0.054812893,-0.09298724,0.40403378,0.01082249,671.9666811297782,171.4370687007904,1,0.4031301,,,,,,
0.0,3.0,0.05198877,1.6941501,1.7901503,0.006147946041755725,0.061955985,0.021939575672149658,0.17419022,0.059194382,0.13085026,0,0.040688325,0.07711788,4.2672038e-15,-0.0009714529,0.05373236,0.34904578,0.024367826,708.2433840102595,334.09301805496216,2,0.35293892,128.0,900.0,1.69,115200.0,3.0,1.796875
0.0,12.0,0.06008978,1.3396115,1.7887256,0.006155978174884705,0.096364625,0.04268258810043335,0.25324646,0.016698003,0.25895184,0,0.11375164,0.10232521,4.5593158e-15,-0.077877894,0.15662666,0.35285306,0.1782907,709.168685746718,496.5367388725281,3,0.36063337,256.0,900.0,1.48,230400.0,12.0,1.4375
0.0,11.0,0.08769437,1.1303105,1.786953,0.006192470212029133,0.06876062,0.10533517599105835,0.30687034,0.055750202,0.3657403,0,0.18952551,0.12245073,5.401605e-15,-0.011223463,0.24328957,0.3459625,0.3921122,713.3725684257562,658.0231838226318,4,0.3657622,384.0,900.0,1.5,345600.0,12.0,1.4609375
0.0,12.0,0.12640254,1.0748097,1.7830154,0.006173517125743046,0.050979305,0.1587918996810913,0.35280567,0.0863094,0.480102,0,0.2268487,0.12528558,7.017103e-15,0.03711312,0.35481638,0.3621483,0.55725574,711.189172885599,820.0054023265839,5,0.39485234,512.0,900.0,1.31,460800.0,12.0,1.375
0.0,12.0,0.19854014,1.0308933,1.7787743,0.0061758826322207165,0.099329405,0.2769826650619507,0.39009455,0.03294155,0.64020467,0,0.28779843,0.10335411,8.19838e-15,-0.06460908,0.5368504,0.37321958,0.7183502,711.4616792318266,981.925577878952,6,0.43892473,640.0,900.0,1.61,576000.0,12.0,1.4921875
0.0,11.0,0.26937807,0.97699153,1.7748775,0.006171526557354321,0.059723478,0.39595919847488403,0.44738996,0.11550525,0.80641174,0,0.26800585,0.09764592,9.396928e-15,0.057556644,0.7087657,0.38296354,0.7757297,710.9598594072178,1143.9600422382355,7,0.49274737,768.0,900.0,1.4,691200.0,12.0,1.3671875
0.0,12.0,0.333876,0.97115785,1.7640091,0.006215645386184683,0.080072336,0.5139690041542053,0.4925252,0.01043877,0.8929011,0,0.42333096,0.09783057,1.2447944e-14,-0.06786956,0.7950705,0.36682484,1.309987,716.0423484884755,1304.8443813323975,8,0.52617085,896.0,900.0,1.6,806400.0,12.0,1.5625
0.0,12.0,0.36906782,0.8839654,1.7612898,0.006197631802965884,0.053912777,0.5590887069702148,0.56015265,0.12852617,0.9706359,0,0.33365586,0.099605106,1.2231821e-14,0.07637468,0.8710308,0.37295973,1.092519,713.9671837016698,1466.1963350772858,9,0.5616766,1024.0,900.0,1.46,921600.0,12.0,1.6015625
0.0,12.0,0.44028163,0.8371723,1.7544248,0.006201445335625922,0.05208499,0.6612884402275085,0.66106826,0.15079308,1.1440635,0,0.4222979,0.10577452,1.5015643e-14,0.100462504,1.038289,0.35912892,1.3473349,714.4065026641061,1627.4490666389465,10,0.61707133,1152.0,900.0,1.27,1036800.0,12.0,1.390625
0.0,11.0,0.5102626,0.8878658,1.7318904,0.0062039965452959185,0.07774679,0.7187512218952179,0.69058955,0.031655286,1.2654824,0,0.6465337,0.07198057,2.0273659e-14,-0.044359617,1.193502,0.34861138,2.0126057,714.7004020180898,1788.635487794876,11,0.6573494,1280.0,900.0,1.53,1152000.0,12.0,1.4921875
0.0,3.0,0.53202057,0.8407234,1.7341537,0.0062084410045036295,0.06386551,0.7391943335533142,0.7333983,0.08097239,1.2626905,0,0.5707576,0.07225115,2.09562e-14,0.018841026,1.1904396,0.34660634,1.7539729,715.2124037188181,1949.7065198421478,12,0.6787002,1408.0,900.0,1.24,1267200.0,12.0,1.2421875
0.0,13.0,0.6960033,0.96836275,1.6879683,0.006228961532813931,0.08814919,0.8059623390436172,1.0134269,-0.06656571,1.5662957,0,1.225287,0.09633224,3.0595064e-14,-0.15302692,1.4699632,0.37048796,3.3000798,717.5763685801649,2110.246923685074,13,0.84106797,1536.0,900.0,1.54,1382400.0,13.0,1.390625
0.0,12.0,0.7876466,0.891757,1.6919835,0.006213606040597654,0.056873966,0.8391111940145493,0.99648356,0.0985643,1.5767635,0,0.8737944,0.056527134,3.0362008e-14,0.04338231,1.5202363,0.3573873,2.7779636,715.8074158768497,2271.184066057205,14,0.8909969,1664.0,900.0,1.4,1497600.0,13.0,1.3671875
0.0,10.0,0.8609692,0.7856957,1.680777,0.006227391153047817,0.06567405,0.8510873019695282,1.2320982,0.12868369,1.8167334,0,0.8023603,0.063463114,3.1329546e-14,0.06469041,1.7532703,0.36821344,2.5800323,717.3954608311085,2431.7649538517,15,0.9541876,1792.0,900.0,1.41,1612800.0,13.0,1.4140625
0.0,12.0,0.8757062,0.7981577,1.6701808,0.006225647592898543,0.0761471,0.8554271459579468,1.3907231,0.15060714,1.8351909,0,0.9389886,0.06676822,3.4389775e-14,0.07613021,1.7684227,0.3694612,2.8982756,717.1946027019121,2592.3908140659332,16,0.97168493,1920.0,900.0,1.69,1728000.0,13.0,1.7421875
0.0,11.0,0.8811924,0.80038995,1.6414748,0.0062627373504902046,0.061060004,0.8634629994630814,1.431295,0.123181134,1.9106044,0,1.1493756,0.03754187,4.231949e-14,0.063762605,1.8730625,0.3516387,3.928453,721.4673427764715,2752.0654010772705,17,0.9516374,2048.0,900.0,1.48,1843200.0,13.0,1.5078125
0.0,11.0,0.8682861,0.94153243,1.6044577,0.006324755922151957,0.06596942,0.8708570152521133,1.7919261,-0.011046626,2.1270351,0,1.9819694,0.058419276,4.896826e-14,-0.07541159,2.0686157,0.34025455,5.8109975,728.6118822319055,2910.1742691993713,18,0.9468224,2176.0,900.0,1.67,1958400.0,13.0,1.5859375
0.0,4.0,0.8937082,0.81556505,1.6152443,0.006321028416281758,0.06443328,0.8634995073080063,2.04198,0.09390637,2.177039,0,1.7469548,0.0631072,4.9867726e-14,0.031088341,2.1139314,0.3598184,5.13634,728.1824735556586,3068.3763740062714,19,0.97390425,2304.0,900.0,1.12,2073600.0,13.0,1.1953125
0.0,5.0,0.92442924,0.78193754,1.5965934,0.006318364210372823,0.048077654,0.8755209594964981,2.1953552,0.05821029,2.2049854,0,1.921801,0.05010873,5.884701e-14,0.01172923,2.154877,0.34599695,5.942848,727.8755570349492,3226.6451864242554,20,0.9806729,2432.0,900.0,1.3,2188800.0,13.0,1.3125
0.0,12.0,0.8771508,0.82002914,1.5800606,0.0063832558460362775,0.06463647,0.8708720505237579,2.5848901,0.05690608,2.3735662,0,2.3114192,0.054185707,5.9943695e-14,-0.006150328,2.31938,0.33308163,7.199997,735.3510734633792,3383.3050515651703,21,0.92691636,2560.0,900.0,1.38,2304000.0,13.0,1.3671875
0.0,12.0,0.85603094,0.822618,1.5532016,0.006335447583598355,0.06073471,0.877165824174881,2.6101272,-0.05509705,2.2856286,0,2.7866077,0.03968577,6.7566436e-14,-0.11427856,2.2459424,0.31079516,7.8569183,729.8435616305305,3541.147096157074,22,0.8867774,2688.0,900.0,1.59,2419200.0,13.0,1.625
